Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
La Fortaleza and San Juan National Historic Site in Puerto Rico,1983-01-01,,-66.125,18.46666667,0.0,United States of America,Europe and North America,"18.46666667,-66.125"
Cultural Landscape of Sintra,1995-01-01,,-9.41667,38.78333,946.0,Portugal,Europe and North America,"38.78333,-9.41667"
"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",1990-01-01,,22.75,38.4,3.7,Greece,Europe and North America,"38.4,22.75"
"Cueva de las Manos, Río Pinturas",1999-01-01,,-70.66666667,-47.15,600.0,Argentina,Latin America and the Caribbean,"-47.15,-70.66666667"
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,1997-01-01,,13.64638889,47.55944444,28446.2,Austria,Europe and North America,"47.55944444,13.64638889"
Paphos,1980-01-01,,32.40556,34.75833,0.0,Cyprus,Europe and North America,"34.75833,32.40556"
Bisotun,2006-01-01,0.0,47.4366666666,34.3883333333,187.0,Iran (Islamic Republic of),Asia and the Pacific,"34.3883333333,47.4366666666"
Timbuktu,1988-01-01,Y 2012 P 1990-2005,-2.999444444,16.77333333,0.0,Mali,Africa,"16.77333333,-2.999444444"
Decorated Farmhouses of Hälsingland,2012-01-01,,16.1958333333,61.7072222222,14.84,Sweden,Europe and North America,"61.7072222222,16.1958333333"
"Humayun's Tomb, Delhi",1993-01-01,,77.25056,28.59333,0.0,India,Asia and the Pacific,"28.59333,77.25056"
Namhansanseong,2014-01-01,,127.181111111,37.4788888889,409.06,Republic of Korea,Asia and the Pacific,"37.4788888889,127.181111111"
Historic Centre of São Luís,1997-01-01,,-44.3025,-2.514166667,66.65,Brazil,Latin America and the Caribbean,"-2.514166667,-44.3025"
Ruins of Loropéni,2009-01-01,,-3.5833333333,10.25,1.113,Burkina Faso,Africa,"10.25,-3.5833333333"
"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",2011-01-01,,55.8063888889,24.0677777778,4945.45,United Arab Emirates,Arab States,"24.0677777778,55.8063888889"
Great Zimbabwe National Monument,1986-01-01,,30.93333333,-20.28333333,722.0,Zimbabwe,Africa,"-20.28333333,30.93333333"
"Grimeton Radio Station, Varberg",2004-01-01,,12.38333333,57.1,109.09,Sweden,Europe and North America,"57.1,12.38333333"
Group of Monuments at Pattadakal,1987-01-01,,75.81667,15.94833,5.5600000000000000,India,Asia and the Pacific,"15.94833,75.81667"
Ruins of the Buddhist Vihara at Paharpur,1985-01-01,,88.98333333,25.03333333,0.0,Bangladesh,Asia and the Pacific,"25.03333333,88.98333333"
Bronze Age Burial Site of Sammallahdenmäki,1999-01-01,,21.7775,61.12056,0.0,Finland,Europe and North America,"61.12056,21.7775"
Paleochristian and Byzantine Monuments of Thessalonika,1988-01-01,,22.965,40.63833,5.327,Greece,Europe and North America,"40.63833,22.965"
Historic Centre of Florence,1982-01-01,,11.25611,43.77306,505.0,Italy,Europe and North America,"43.77306,11.25611"
Cultural Landscape of Honghe Hani Rice Terraces,2013-01-01,,102.779980556,23.0932777778,16603.22,China,Asia and the Pacific,"23.0932777778,102.779980556"
Seokguram Grotto and Bulguksa Temple,1995-01-01,,129.35,35.78333333,0.0,Republic of Korea,Asia and the Pacific,"35.78333333,129.35"
Rock Drawings in Valcamonica,1979-01-01,,10.29733333,45.95705556,432.3,Italy,Europe and North America,"45.95705556,10.29733333"
Historic Centre of Santa Cruz de Mompox,1995-01-01,,-74.43333333,9.233333333,0.0,Colombia,Latin America and the Caribbean,"9.233333333,-74.43333333"
Agricultural Landscape of Southern Öland,2000-01-01,,16.48333,56.325,56323.0,Sweden,Europe and North America,"56.325,16.48333"
"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",1992-01-01,,10.34,51.82,1009.89,Germany,Europe and North America,"51.82,10.34"
The Forth Bridge,2015-01-01,,-3.3888888889,56.0011111111,7.5,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"56.0011111111,-3.3888888889"
Curonian Spit,2000-01-01,,20.96239,55.27458,33021.0,"Lithuania,Lithuania,Russian Federation,Russian Federation",Europe and North America,"55.27458,20.96239"
Palace and Gardens of Schönbrunn,1996-01-01,,16.31333333,48.18666667,186.28,Austria,Europe and North America,"48.18666667,16.31333333"
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,2000-01-01,P 2003-2009,49.83333333,40.36666667,21.5,Azerbaijan,Europe and North America,"40.36666667,49.83333333"
National Archeological Park of Tierradentro,1995-01-01,,-76.03333333,2.583333333,0.0,Colombia,Latin America and the Caribbean,"2.583333333,-76.03333333"
Petroglyphs within the Archaeological Landscape of Tamgaly,2004-01-01,,75.535,43.80333333,900.0,Kazakhstan,Asia and the Pacific,"43.80333333,75.535"
Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,1993-01-01,,18.9,48.46111,20632.0,Slovakia,Europe and North America,"48.46111,18.9"
Sacred City of Kandy,1988-01-01,,80.64027778,7.293611111,0.0,"Sri Lanka,Sri Lanka",Asia and the Pacific,"7.293611111,80.64027778"
Wieliczka and Bochnia Royal Salt Mines,1978-01-01,,20.0638888889,49.9791666667,1104.947,Poland,Europe and North America,"49.9791666667,20.0638888889"
Rock-Hewn Churches of Ivanovo,1979-01-01,,25.96666667,43.71666667,171.9,Bulgaria,Europe and North America,"43.71666667,25.96666667"
Mining Area of the Great Copper Mountain in Falun,2001-01-01,,15.63083,60.60472,42.82,Sweden,Europe and North America,"60.60472,15.63083"
Castle of the Teutonic Order in Malbork,1997-01-01,,19.03333333,54.04166667,18.038,Poland,Europe and North America,"54.04166667,19.03333333"
Archaeological Site of Philippi,2016-01-01,,24.2852777778,41.0147222222,100.116,Greece,Europe and North America,"41.0147222222,24.2852777778"
Camino Real de Tierra Adentro,2010-01-01,,-102.379166667,22.6080555556,3101.91,Mexico,Latin America and the Caribbean,"22.6080555556,-102.379166667"
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,2012-01-01,,-43.2913888889,-22.9477777778,7248.78,Brazil,Latin America and the Caribbean,"-22.9477777778,-43.2913888889"
Castel del Monte,1996-01-01,,16.27094444,41.08480556,3.1,Italy,Europe and North America,"41.08480556,16.27094444"
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,1979-01-01,,31.13041,29.97604,16358.52,Egypt,Arab States,"29.97604,31.13041"
Elephanta Caves,1987-01-01,,72.93583,18.96667,0.0,India,Asia and the Pacific,"18.96667,72.93583"
Rjukan-Notodden Industrial Heritage Site,2015-01-01,,8.5936111111,59.8786111111,4959.5,Norway,Europe and North America,"59.8786111111,8.5936111111"
State Historical and Cultural Park “Ancient Merv”,1999-01-01,,62.1775,37.70083,353.24,Turkmenistan,Asia and the Pacific,"37.70083,62.1775"
Itchan Kala,1990-01-01,,60.36389,41.37833,37.5,Uzbekistan,Asia and the Pacific,"41.37833,60.36389"
At-Turaif District in ad-Dir'iyah,2010-01-01,,46.5724666667,24.7341333333,28.78,Saudi Arabia,Arab States,"24.7341333333,46.5724666667"
Ironbridge Gorge,1986-01-01,,-2.472777778,52.62638889,0.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"52.62638889,-2.472777778"
Aksum,1980-01-01,,38.71861,14.13019,0.0,Ethiopia,Africa,"14.13019,38.71861"
Lines and Geoglyphs of Nasca and Palpa,1994-01-01,,-75.14861,-14.72583,75358.47,Peru,Latin America and the Caribbean,"-14.72583,-75.14861"
Archaeological Area of Agrigento,1997-01-01,,13.59333333,37.28972222,934.0,Italy,Europe and North America,"37.28972222,13.59333333"
Gorham's Cave Complex,2016-01-01,,-5.3420611111,36.1226694444,28.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"36.1226694444,-5.3420611111"
Hortobágy National Park - the <i>Puszta</i>,1999-01-01,,21.15678,47.59458,74820.0,Hungary,Europe and North America,"47.59458,21.15678"
Historic Centre of Lima,1988-01-01,,-77.04306,-12.05139,259.36,Peru,Latin America and the Caribbean,"-12.05139,-77.04306"
Ancient Building Complex in the Wudang Mountains,1994-01-01,,111.0,32.46667,0.0,China,Asia and the Pacific,"32.46667,111.0"
"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",1994-01-01,,135.7694444,34.98055556,1056.0,Japan,Asia and the Pacific,"34.98055556,135.7694444"
Catalan Romanesque Churches of the Vall de Boí,2000-01-01,,0.803611111,42.50472222,7.98,Spain,Europe and North America,"42.50472222,0.803611111"
"Paris, Banks of the Seine",1991-01-01,,2.294166667,48.85833333,365.0,France,Europe and North America,"48.85833333,2.294166667"
Megalithic Temples of Malta,1980-01-01,,14.26947,36.04908,3.155,"Malta,Malta,Malta",Europe and North America,"36.04908,14.26947"
"Church Town of Gammelstad, Luleå",1996-01-01,,22.02861,65.64611,0.0,Sweden,Europe and North America,"65.64611,22.02861"
Monastic Island of Reichenau,2000-01-01,,9.061305556,47.69872222,0.0,Germany,Europe and North America,"47.69872222,9.061305556"
Van Nellefabriek,2014-01-01,,4.4183333333,51.9233333333,6.94,Netherlands,Europe and North America,"51.9233333333,4.4183333333"
Old Walled City of Shibam,1982-01-01,,48.62667,15.92694,0.0,Yemen,Arab States,"15.92694,48.62667"
Historic Centre of Macao,2005-01-01,,113.536461111,22.1912919444,16.1678,China,Asia and the Pacific,"22.1912919444,113.536461111"
"Gamzigrad-Romuliana, Palace of Galerius",2007-01-01,,22.1861111111,43.8993055556,179.217,Serbia,Europe and North America,"43.8993055556,22.1861111111"
Archaeological Site of Carthage,1979-01-01,,10.32333,36.85278,616.02,Tunisia,Arab States,"36.85278,10.32333"
"Collegiate Church, Castle and Old Town of Quedlinburg",1994-01-01,,11.15,51.78333,90.0,Germany,Europe and North America,"51.78333,11.15"
Yin Xu,2006-01-01,,114.313888889,36.1266666666,414.0,China,Asia and the Pacific,"36.1266666666,114.313888889"
Historical Centre of the City of Arequipa,2000-01-01,,-71.53333333,-16.4,166.52,Peru,Latin America and the Caribbean,"-16.4,-71.53333333"
Stone Circles of Senegambia,2006-01-01,,-15.5225,13.6911111111,9.85,"Gambia,Senegal",Africa,"13.6911111111,-15.5225"
Masjed-e Jāmé of Isfahan,2012-01-01,,51.6852777778,32.6697222222,2.0756,Iran (Islamic Republic of),Asia and the Pacific,"32.6697222222,51.6852777778"
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",2000-01-01,,12.62244444,43.06616667,14563.25,Italy,Europe and North America,"43.06616667,12.62244444"
Khajuraho Group of Monuments,1986-01-01,,79.92222,24.85222,0.0,India,Asia and the Pacific,"24.85222,79.92222"
Würzburg Residence with the Court Gardens and Residence Square,1981-01-01,,9.93889,49.79278,14.77,Germany,Europe and North America,"49.79278,9.93889"
Old Town of Ghadamès,1986-01-01,,9.5,30.13333333,0.0,Libya,Arab States,"30.13333333,9.5"
Cornwall and West Devon Mining Landscape,2006-01-01,0.0,-5.3836111111000000,50.1361111111,19719.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"50.1361111111,-5.3836111111"
Xanthos-Letoon,1988-01-01,,29.32028,36.335,126.4,Turkey,Europe and North America,"36.335,29.32028"
Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,2014-01-01,,108.857222222,34.3044444444,42668.16,"China,Kazakhstan,Kyrgyzstan",Asia and the Pacific,"34.3044444444,108.857222222"
Historic Centre of Telč,1992-01-01,,15.45,49.18333,36.0,Czech Republic,Europe and North America,"49.18333,15.45"
Ciudad Universitaria de Caracas,2000-01-01,,-66.89068,10.49073,164203.0,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,"10.49073,-66.89068"
My Son Sanctuary,1999-01-01,,108.5666667,15.51666667,142.0,Viet Nam,Asia and the Pacific,"15.51666667,108.5666667"
"Stonehenge, Avebury and Associated Sites",1986-01-01,,-1.825277778,51.17888889,4985.4,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"51.17888889,-1.825277778"
Historic Walled Town of Cuenca,1996-01-01,,-2.13174,40.07662,22.79,Spain,Europe and North America,"40.07662,-2.13174"
Struve Geodetic Arc,2005-01-01,,26.3377777777,59.0577777778,0.0,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",Europe and North America,"59.0577777778,26.3377777777"
Yungang Grottoes,2001-01-01,,113.12222,40.10972,348.75,China,Asia and the Pacific,"40.10972,113.12222"
Rohtas Fort,1997-01-01,,73.58888889,32.9625,0.0,Pakistan,Asia and the Pacific,"32.9625,73.58888889"
Golden Temple of Dambulla,1991-01-01,,80.64916667,7.856666667,0.0,"Sri Lanka,Sri Lanka",Asia and the Pacific,"7.856666667,80.64916667"
Samarra Archaeological City,2007-01-01,Y 2007,43.8235430555,34.3409894444,15058.0,Iraq,Arab States,"34.3409894444,43.8235430555"
"The Jantar Mantar, Jaipur",2010-01-01,,75.825,26.9247222222,1.8652000000000000,India,Asia and the Pacific,"26.9247222222,75.825"
Temple of Preah Vihear,2008-01-01,,104.683888889,14.3883333333,154.7,Cambodia,Asia and the Pacific,"14.3883333333,104.683888889"
San Cristóbal de La Laguna,1999-01-01,,-16.31177778,28.47788889,60.38,Spain,Europe and North America,"28.47788889,-16.31177778"
Historic Mosque City of Bagerhat,1985-01-01,,89.8,22.66667,0.0,Bangladesh,Asia and the Pacific,"22.66667,89.8"
Historic Inner City of Paramaribo,2002-01-01,,-55.15,5.82611,30.0,Suriname,Latin America and the Caribbean,"5.82611,-55.15"
"Qutb Minar and its Monuments, Delhi",1993-01-01,,77.18528,28.52583,0.0,India,Asia and the Pacific,"28.52583,77.18528"
San Millán Yuso and Suso Monasteries,1997-01-01,,-2.86496,42.32586,19.01,Spain,Europe and North America,"42.32586,-2.86496"
Tugendhat Villa in Brno,2001-01-01,,16.6160555556,49.2071833333,0.73,Czech Republic,Europe and North America,"49.2071833333,16.6160555556"
Mountain Railways of India,1999-01-01,,76.93583,11.51028,88.99,India,Asia and the Pacific,"11.51028,76.93583"
Peking Man Site at Zhoukoudian,1987-01-01,,115.9166667,39.73333333,480.0,China,Asia and the Pacific,"39.73333333,115.9166667"
Churches of Moldavia,1993-01-01,,25.7127777778,47.7783333333,,Romania,Europe and North America,"47.7783333333,25.7127777778"
"Fort Jesus, Mombasa",2011-01-01,,39.6794444444,-4.0627777778,2.36,Kenya,Africa,"-4.0627777778,39.6794444444"
City of Graz – Historic Centre and Schloss Eggenberg,1999-01-01,,15.3916666667,47.0741666667,,Austria,Europe and North America,"47.0741666667,15.3916666667"
Saloum Delta,2011-01-01,,-16.4986111111,13.8352777778,145811.0,Senegal,Africa,"13.8352777778,-16.4986111111"
Kondoa Rock-Art Sites,2006-01-01,,35.8338888888,-4.7244444444000000,233600.0,United Republic of Tanzania,Africa,"-4.7244444444,35.8338888888"
Ancient City of Aleppo,1986-01-01,,37.16667,36.23333,364.0,Syrian Arab Republic,Arab States,"36.23333,37.16667"
Ban Chiang Archaeological Site,1992-01-01,,103.35833,17.54861,30.0,Thailand,Asia and the Pacific,"17.54861,103.35833"
Twyfelfontein or /Ui-//aes,2007-01-01,,14.3725833333,-20.5955833333,57.4269,Namibia,Africa,"-20.5955833333,14.3725833333"
Historic Villages of Shirakawa-go and Gokayama,1995-01-01,,136.8833333,36.4,68.0,Japan,Asia and the Pacific,"36.4,136.8833333"
Bagrati Cathedral and Gelati Monastery,1994-01-01,Y 2010,42.71639,42.26222,7.87,Georgia,Europe and North America,"42.26222,42.71639"
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,2005-01-01,,50.5272222222,26.23306,70.4,Bahrain,Arab States,"26.23306,50.5272222222"
Holy Trinity Column in Olomouc,2000-01-01,,17.2504583333,49.5939361111,0.0227,Czech Republic,Europe and North America,"49.5939361111,17.2504583333"
Aachen Cathedral,1978-01-01,,6.084444444,50.77444444,0.2,Germany,Europe and North America,"50.77444444,6.084444444"
"Historic Ensemble of the Potala Palace, Lhasa",1994-01-01,,91.11717,29.65792,60.5,China,Asia and the Pacific,"29.65792,91.11717"
The Cathedral of St James in Šibenik,2000-01-01,,15.89038,43.73629,0.1,Croatia,Europe and North America,"43.73629,15.89038"
Frontiers of the Roman Empire,1987-01-01,,-2.601,54.9926111111,526.9,"Germany,United Kingdom of Great Britain and Northern Ireland",Europe and North America,"54.9926111111,-2.601"
Fort and Shalamar Gardens in Lahore,1981-01-01,P 2000-2012,74.30972222,31.59027778,0.0,Pakistan,Asia and the Pacific,"31.59027778,74.30972222"
Stone Town of Zanzibar,2000-01-01,,39.18917,-6.16306,96.0,United Republic of Tanzania,Africa,"-6.16306,39.18917"
"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",1980-01-01,,12.49230556,41.89022222,1430.8,"Holy See,Italy",Europe and North America,"41.89022222,12.49230556"
City of Valletta,1980-01-01,,14.51444,35.90056,55.5,Malta,Europe and North America,"35.90056,14.51444"
Coro and its Port,1993-01-01,Y 2005,-69.68333333,11.4,,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,"11.4,-69.68333333"
"Le Havre, the City Rebuilt by Auguste Perret",2005-01-01,,0.1075,49.49278,133.0,France,Europe and North America,"49.49278,0.1075"
Buddhist Monuments in the Horyu-ji Area,1993-01-01,,135.7333333,34.61666667,15.03,Japan,Asia and the Pacific,"34.61666667,135.7333333"
Speicherstadt and Kontorhaus District with Chilehaus,2015-01-01,,9.9994444444,53.545555555600000,26.08,Germany,Europe and North America,"53.5455555556,9.9994444444"
Humberstone and Santa Laura Saltpeter Works,2005-01-01,,-69.79406,-20.20582,573.48,Chile,Latin America and the Caribbean,"-20.20582,-69.79406"
Monuments of Oviedo and the Kingdom of the Asturias,1985-01-01,,-5.84303,43.36262,0.2,Spain,Europe and North America,"43.36262,-5.84303"
Shahr-i Sokhta,2014-01-01,,61.3277777778,30.5938888889,275.0,Iran (Islamic Republic of),Asia and the Pacific,"30.5938888889,61.3277777778"
Choirokoitia,1998-01-01,,33.34333,34.79833,6.2,Cyprus,Europe and North America,"34.79833,33.34333"
"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape",2011-01-01,,3.4730555556000000,44.2202777778,302319.0,France,Europe and North America,"44.2202777778,3.4730555556"
The Persian Garden,2011-01-01,,53.1666666667,30.1666666667,716.35,Iran (Islamic Republic of),Asia and the Pacific,"30.1666666667,53.1666666667"
Kathmandu Valley,1979-01-01,P 2003-2007,85.30858,27.70395,167.37,Nepal,Asia and the Pacific,"27.70395,85.30858"
Studley Royal Park including the Ruins of Fountains Abbey,1986-01-01,,-1.573055556,54.11611111,309.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"54.11611111,-1.573055556"
Pontcysyllte Aqueduct and Canal,2009-01-01,,-3.0877777778,52.9702777778,105.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"52.9702777778,-3.0877777778"
Historical Complex of Split with the Palace of Diocletian,1979-01-01,,16.44333,43.50944,20.8,Croatia,Europe and North America,"43.50944,16.44333"
Tombs of Buganda Kings at Kasubi,2001-01-01,Y 2010,32.55138889,0.34861111100000000,26.8,Uganda,Africa,"0.348611111,32.55138889"
Convent of Christ in Tomar,1983-01-01,,-8.4175,39.60472,0.0,Portugal,Europe and North America,"39.60472,-8.4175"
Vatican City,1984-01-01,,12.45736,41.90216,0.0,Holy See,Europe and North America,"41.90216,12.45736"
Pre-Hispanic Town of Uxmal,1996-01-01,,-89.77027778,20.36166667,0.0,Mexico,Latin America and the Caribbean,"20.36166667,-89.77027778"
Palaces and Parks of Potsdam and Berlin,1990-01-01,,13.03333333,52.4,2064.0,Germany,Europe and North America,"52.4,13.03333333"
San Marino Historic Centre and Mount Titano,2008-01-01,,12.4519444444,43.9327777778,55.0,San Marino,Europe and North America,"43.9327777778,12.4519444444"
Ashur (Qal'at Sherqat),2003-01-01,Y 2003,43.25972,35.45889,70.0,Iraq,Arab States,"35.45889,43.25972"
Roskilde Cathedral,1995-01-01,,12.07972222,55.64222222,0.4,Denmark,Europe and North America,"55.64222222,12.07972222"
City of Luxembourg: its Old Quarters and Fortifications,1994-01-01,,6.13333,49.61,29.94,Luxembourg,Europe and North America,"49.61,6.13333"
White City of Tel-Aviv -- the Modern Movement,2003-01-01,,34.78333333,32.06666667,140.4,Israel,Europe and North America,"32.06666667,34.78333333"
"Archaeological Zone of Paquimé, Casas Grandes",1998-01-01,,-107.95556,30.37583,146.72,Mexico,Latin America and the Caribbean,"30.37583,-107.95556"
Byblos,1984-01-01,,35.6475,34.11917,0.0,Lebanon,Arab States,"34.11917,35.6475"
"Historic Area of Willemstad, Inner City and Harbour, Curaçao",1997-01-01,,-68.90222,12.10194,86.0,Netherlands,Europe and North America,"12.10194,-68.90222"
San Antonio Missions,2015-01-01,,-98.46,29.3280555556,300.8,United States of America,Europe and North America,"29.3280555556,-98.46"
Minaret and Archaeological Remains of Jam,2002-01-01,Y 2002,64.51605556,34.39655556,70.0,Afghanistan,Asia and the Pacific,"34.39655556,64.51605556"
Brasilia,1987-01-01,,-47.9,-15.78333,11268.92,Brazil,Latin America and the Caribbean,"-15.78333,-47.9"
"Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir",2014-01-01,Y 2014,35.1305555556,31.7197222222,348.83,Palestine,Arab States,"31.7197222222,35.1305555556"
Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,2001-01-01,,105.822222222,14.8483333333,39000.0,Lao People's Democratic Republic,Asia and the Pacific,"14.8483333333,105.822222222"
Vizcaya Bridge,2006-01-01,,-3.0168333333,43.323175,0.8595,Spain,Europe and North America,"43.323175,-3.0168333333"
Jewish Quarter and St Procopius' Basilica in Třebíč,2003-01-01,,15.87888889,49.21722222,5.73,Czech Republic,Europe and North America,"49.21722222,15.87888889"
Konso Cultural Landscape,2011-01-01,,37.4,5.3,23000.0,Ethiopia,Africa,"5.3,37.4"
Palmeral of Elche,2000-01-01,,-0.716666667,38.26666667,0.0,Spain,Europe and North America,"38.26666667,-0.716666667"
Kernavė  Archaeological Site (Cultural Reserve of Kernavė),2004-01-01,,24.83055556,54.88777778,194.4,Lithuania,Europe and North America,"54.88777778,24.83055556"
Baekje Historic Areas,2015-01-01,,127.127222222,36.4619444444,135.1,Republic of Korea,Asia and the Pacific,"36.4619444444,127.127222222"
Rietveld Schröderhuis (Rietveld Schröder House),2000-01-01,,5.147222222,52.08527778,0.0,Netherlands,Europe and North America,"52.08527778,5.147222222"
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",1998-01-01,,15.26666667,40.28333333,159109.73,Italy,Europe and North America,"40.28333333,15.26666667"
Mantua and Sabbioneta,2008-01-01,,10.7944444444,45.1594444444,235.0,Italy,Europe and North America,"45.1594444444,10.7944444444"
Group of Monuments at Mahabalipuram,1984-01-01,,80.19167,12.61667,0.0,India,Asia and the Pacific,"12.61667,80.19167"
Nubian Monuments from Abu Simbel to Philae,1979-01-01,,31.62611,22.33639,374.48,Egypt,Arab States,"22.33639,31.62611"
Historic Centre of Riga,1997-01-01,,24.11667,56.95417,438.3,Latvia,Europe and North America,"56.95417,24.11667"
Royal Hill of Ambohimanga,2001-01-01,,47.562780000000000,-18.75917,59.0,"Madagascar,Madagascar",Africa,"-18.75917,47.56278"
Historic Monuments Zone of Tlacotalpan,1998-01-01,,-95.65833333,18.60833333,75.0,Mexico,Latin America and the Caribbean,"18.60833333,-95.65833333"
Bourges Cathedral,1992-01-01,,2.398333333,47.08222222,0.85,France,Europe and North America,"47.08222222,2.398333333"
"Summer Palace, an Imperial Garden in Beijing",1998-01-01,,116.1411111,39.91055556,297.0,China,Asia and the Pacific,"39.91055556,116.1411111"
Archaeological Heritage of the Lenggong Valley,2012-01-01,,100.972327778,5.0679083333,398.64,Malaysia,Asia and the Pacific,"5.0679083333,100.972327778"
Rock Art in the Hail Region of Saudi Arabia,2015-01-01,,40.9130555556,28.0105555556,2043.8,Saudi Arabia,Arab States,"28.0105555556,40.9130555556"
Lamu Old Town,2001-01-01,,40.8525,-2.284444444,15.6,Kenya,Africa,"-2.284444444,40.8525"
Mount Qingcheng and the Dujiangyan Irrigation System,2000-01-01,,103.60528,31.00167,0.0,China,Asia and the Pacific,"31.00167,103.60528"
Mesa Verde National Park,1978-01-01,,-108.4855556,37.26166667,21043.0,United States of America,Europe and North America,"37.26166667,-108.4855556"
Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,2010-01-01,,113.067719444,34.4587472222,825.0,China,Asia and the Pacific,"34.4587472222,113.067719444"
Sanctuary of Bom Jesus do Congonhas,1985-01-01,,-43.85777778,-20.49972222,2.19,Brazil,Latin America and the Caribbean,"-20.49972222,-43.85777778"
Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,1995-01-01,,15.2666666667,49.95,62.437,Czech Republic,Europe and North America,"49.95,15.2666666667"
León Cathedral,2011-01-01,,-86.8780555556,12.435,0.77,Nicaragua,Latin America and the Caribbean,"12.435,-86.8780555556"
Susa,2015-01-01,,48.2561111111,32.1894444444,350.0,Iran (Islamic Republic of),Asia and the Pacific,"32.1894444444,48.2561111111"
Lower Valley of the Omo,1980-01-01,,35.96666667,4.8,0.0,Ethiopia,Africa,"4.8,35.96666667"
"Biblical Tels - Megiddo, Hazor, Beer Sheba",2005-01-01,,35.18222,32.59722,96.04,Israel,Europe and North America,"32.59722,35.18222"
Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,1999-01-01,,19.66666667,49.86666667,380.0,Poland,Europe and North America,"49.86666667,19.66666667"
Early Christian Necropolis of Pécs (Sopianae),2000-01-01,,18.22778,46.07444,3.76,Hungary,Europe and North America,"46.07444,18.22778"
The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,1999-01-01,,26.55,37.3,0.0,Greece,Europe and North America,"37.3,26.55"
Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,1981-01-01,P 2004-2014,39.52278,-8.95778,0.0,United Republic of Tanzania,Africa,"-8.95778,39.52278"
Al Zubarah Archaeological Site,2013-01-01,,51.0297222222,25.9780555556,415.66,Qatar,Arab States,"25.9780555556,51.0297222222"
Medieval Monuments in Kosovo,2004-01-01,Y 2006,20.2655555555,42.6611111111,2.8802000000000000,Serbia,Europe and North America,"42.6611111111,20.2655555555"
Khami Ruins National Monument,1986-01-01,,28.37666667,-20.15833333,0.0,Zimbabwe,Africa,"-20.15833333,28.37666667"
Iwami Ginzan Silver Mine and its Cultural Landscape,2007-01-01,,132.435,35.1127777777,529.17,Japan,Asia and the Pacific,"35.1127777777,132.435"
"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",2014-01-01,,4.4161111111,44.3875,9.0,France,Europe and North America,"44.3875,4.4161111111"
Old City of Jerusalem and its Walls,1981-01-01,Y 1982,35.21666667,31.78333333,0.0,Jerusalem (Site proposed by Jordan),Arab States,"31.78333333,35.21666667"
Cultural Landscape of Maymand,2015-01-01,,55.3755555556,30.1680555556,4953.85,Iran (Islamic Republic of),Asia and the Pacific,"30.1680555556,55.3755555556"
Quebrada de Humahuaca,2003-01-01,,-65.34886111,-23.19986111,172116.4375,Argentina,Latin America and the Caribbean,"-23.19986111,-65.34886111"
The Grand Canal,2014-01-01,,112.468333333,34.6938888889,20819.11,China,Asia and the Pacific,"34.6938888889,112.468333333"
Birka and Hovgården,1993-01-01,,17.54264,59.33514,0.0,Sweden,Europe and North America,"59.33514,17.54264"
"Koutammakou, the Land of the Batammariba",2004-01-01,,1.133333333,10.06666667,50000.0,Togo,Africa,"10.06666667,1.133333333"
Old Town of Lijiang,1997-01-01,,100.23333,26.86667,145.6,China,Asia and the Pacific,"26.86667,100.23333"
