Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
Dougga / Thugga,1997-01-01,,9.22028,36.42361,70.0,Tunisia,Arab States,"36.42361,9.22028"
Residence of Bukovinian and Dalmatian Metropolitans,2011-01-01,,25.9247222222,48.2966666667,8.0,Ukraine,Europe and North America,"48.2966666667,25.9247222222"
Carolingian Westwork and Civitas Corvey,2014-01-01,,9.41025,51.7782777778,12.0,Germany,Europe and North America,"51.7782777778,9.41025"
Heart of Neolithic Orkney,1999-01-01,,-3.188666667,58.99605556,15.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"58.99605556,-3.188666667"
Antigua Naval Dockyard and Related Archaeological Sites,2016-01-01,,-61.7616666667,17.0069444444,255.0,Antigua and Barbuda,Latin America and the Caribbean,"17.0069444444,-61.7616666667"
Old and New Towns of Edinburgh,1995-01-01,,-3.216666667,55.95,0.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"55.95,-3.216666667"
Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil,2010-01-01,,48.2913888889,38.2486111111,2.1353,Iran (Islamic Republic of),Asia and the Pacific,"38.2486111111,48.2913888889"
Historic Centre of Bukhara,1993-01-01,,64.42861,39.77472,200.0,Uzbekistan,Asia and the Pacific,"39.77472,64.42861"
Old Town of Segovia and its Aqueduct,1985-01-01,,-4.11675,40.94847222,134.28,Spain,Europe and North America,"40.94847222,-4.11675"
"Port, Fortresses and Group of Monuments, Cartagena",1984-01-01,,-75.53333333,10.41666667,0.0,Colombia,Latin America and the Caribbean,"10.41666667,-75.53333333"
Medina of Marrakesh,1985-01-01,,-7.98667,31.63139,1107.0,Morocco,Arab States,"31.63139,-7.98667"
Historic Centre of Guimarães,2001-01-01,,-8.29482,41.44083,16.0,Portugal,Europe and North America,"41.44083,-8.29482"
Chartres Cathedral,1979-01-01,,1.487222222,48.4475,1.06,France,Europe and North America,"48.4475,1.487222222"
Schokland and Surroundings,1995-01-01,,5.771666667,52.63861111,1306.0,"Netherlands,Netherlands",Europe and North America,"52.63861111,5.771666667"
"Bassari Country: Bassari, Fula and Bedik Cultural Landscapes",2012-01-01,,-12.8458333333,12.5933333333,50309.0,Senegal,Africa,"12.5933333333,-12.8458333333"
"Sun Temple, Konârak",1984-01-01,,86.09472,19.8875,10.62,India,Asia and the Pacific,"19.8875,86.09472"
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,1994-01-01,,116.975,35.61167,0.0,China,Asia and the Pacific,"35.61167,116.975"
"Palau de la Música Catalana and Hospital de Sant Pau, Barcelona",1997-01-01,,2.175,41.38778,,Spain,Europe and North America,"41.38778,2.175"
Royal Tombs of the Joseon Dynasty,2009-01-01,,128.452777778,37.1972222222,1891.2,Republic of Korea,Asia and the Pacific,"37.1972222222,128.452777778"
Völklingen Ironworks,1994-01-01,,6.85,49.24444,6.0,Germany,Europe and North America,"49.24444,6.85"
Medina of Tétouan (formerly known as Titawin),1997-01-01,,-5.36667,35.57083,6.5,Morocco,Arab States,"35.57083,-5.36667"
Poblet Monastery,1991-01-01,,1.0825,41.38083,18.0,Spain,Europe and North America,"41.38083,1.0825"
Fujian <em>Tulou</em>,2008-01-01,,117.685833333,25.0230555556,152.65,China,Asia and the Pacific,"25.0230555556,117.685833333"
Palace and Park of Versailles,1979-01-01,,2.119444444,48.805,1070.0,France,Europe and North America,"48.805,2.119444444"
"Citadel, Ancient City and Fortress Buildings of Derbent",2003-01-01,,48.29719444,42.05297222,9.7,Russian Federation,Europe and North America,"42.05297222,48.29719444"
"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",1981-01-01,,4.808416667,44.13572222,9.45,France,Europe and North America,"44.13572222,4.808416667"
Fossil Hominid Sites of South Africa,1999-01-01,,29.17694,-24.15861,0.0,South Africa,Africa,"-24.15861,29.17694"
Royal Monastery of Santa María de Guadalupe,1993-01-01,,-5.3275,39.45285,1.1,Spain,Europe and North America,"39.45285,-5.3275"
Um er-Rasas (Kastrom Mefa'a),2004-01-01,,35.92056,31.50167,23.928,Jordan,Arab States,"31.50167,35.92056"
Great Burkhan Khaldun Mountain and its surrounding sacred landscape,2015-01-01,,109.009327778,48.7619777778,443739.2,Mongolia,Asia and the Pacific,"48.7619777778,109.009327778"
Ancient Thebes with its Necropolis,1979-01-01,,32.6,25.73333,7390.16,Egypt,Arab States,"25.73333,32.6"
Old Bridge Area of the Old City of Mostar,2005-01-01,,17.81092,43.34812,7.6,Bosnia and Herzegovina,Europe and North America,"43.34812,17.81092"
Pasargadae,2004-01-01,,53.16729,30.19383,159.65,Iran (Islamic Republic of),Asia and the Pacific,"30.19383,53.16729"
Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,1996-01-01,,17.78444,47.55889,47.4,Hungary,Europe and North America,"47.55889,17.78444"
Crespi d'Adda,1995-01-01,,9.53833,45.59333,0.0,Italy,Europe and North America,"45.59333,9.53833"
